,Unnamed: 0,title,view,like,unlike,date,token
1067,1067,큐브라이브 EXID - LIE,560373.0,10000.0,149.0,2016. 7. 4.,"['라이브', '큐브']"
1068,1068,BEST 5 멜로디데이 - 헤어지고 꼭 부르는 노래,57012.0,789.0,4.0,2016. 7. 2.,"['노래', '멜로디', '데이']"
1069,1069,자장가라이브 양요섭,109880.0,4000.0,10.0,2016. 7. 2.,"['양요', '라이브', '자장가']"
1070,1070,노래방라이브 갓세븐 GOT7 영재 - 하늘을 달리다 허각 cover 버전,262422.0,10000.0,40.0,2016. 7. 1.,"['하늘', '라이브', '버전', '노래방']"
1071,1071,백예린 - Bye Bye My Blue 세로라이브 Yerin Baek,2387621.0,20000.0,240.0,2016. 6. 30.,"['세로', '라이브']"
1072,1072,큐브라이브 블락비 - Walkin` In The Rain,784236.0,10000.0,63.0,2016. 6. 27.,"['라이브', '큐브']"
1073,1073,캘리가사집 엄청 흥하고 있는 노래,16085.0,69.0,0.0,2016. 6. 25.,"['노래', '사집']"
1074,1074,노래방라이브 길구봉구 - 바람이 불었으면 좋겠어,1432414.0,6000.0,128.0,2016. 6. 24.,"['바람', '라이브', '노래방']"
1075,1075,XIA 준수 - 예뻐 Eyes On You 세로라이브,345159.0,7000.0,67.0,2016. 6. 23.,"['세로', '준수', '라이브']"
1076,1076,세로라이브 정키 - 바라지 않아 Feat 소정 of 레이디스코드,138873.0,1000.0,12.0,2016. 6. 22.,"['레이', '라이브', '소정', '디스코', '세로', '바라지']"
1077,1077,이슬라이브 존박&곽진언 - Thinking Out Loud Ed sheeran,1057557.0,10000.0,86.0,2016. 6. 21.,"['라이브', '진언', '이슬']"
1078,1078,캘리가사집 백예린 - 우주를 건너,16626.0,151.0,4.0,2016. 6. 19.,"['우주', '사집']"
1079,1079,캘리가사집 백아연 - 쏘쏘,11599.0,131.0,1.0,2016. 6. 18.,"['백아', '사집']"
1080,1080,윤하 - 알아듣겠지 Feat 하펠트 치타 세로라이브 YOUNHA - Get It,163034.0,2000.0,55.0,2016. 6. 17.,"['치타', '라이브', '세로', '펠트', '윤하']"
1081,1081,캘리가사집 정키 - 바라지 않아 feat레이디스코드 소정,5239.0,63.0,0.0,2016. 6. 17.,"['레이', '소정', '코드', '바라지', '사집']"
1082,1082,노래방라이브 베이빌론 - 소녀 오혁 cover,59176.0,518.0,17.0,2016. 6. 17.,"['라이브', '베이', '소녀', '노래방']"
1083,1083,큐브라이브 장기하와 얼굴들 - ㅋ,373860.0,3000.0,30.0,2016. 6. 16.,"['라이브', '장기', '큐브', '얼굴', '하와']"
1084,1084,세로라이브 10CM - 스토커,2178615.0,10000.0,294.0,2016. 6. 14.,"['세로', '라이브', '스토커']"
1085,1085,캘리가사집 정키 - 홀로 feat김나영,9081.0,64.0,0.0,2016. 6. 11.,['사집']
1086,1086,캘리가사집 박경 - 자격지심 feat 여자친구 은하,18680.0,170.0,13.0,2016. 6. 9.,"['친구', '자격지심', '은하', '여자', '사집']"
1087,1087,BEST5어반자카파 남녀가 듀엣하기 좋은 노래,86718.0,482.0,9.0,2016. 6. 7.,"['반자', '카파', '듀엣', '남녀', '노래']"
1088,1088,키썸 - 맥주 두 잔 세로라이브 Kisum - 2 BEER,286918.0,2000.0,38.0,2016. 6. 4.,"['세로', '라이브', '맥주']"
1089,1089,캘리가사집 벤 - 꿈처럼,12129.0,123.0,1.0,2016. 6. 4.,['사집']
1090,1090,캘리가사집 정키 - 홀로 feat김나영,8528.0,58.0,2.0,2016. 6. 3.,['사집']
1091,1091,노래방라이브 송유빈 - 고백 정준일 cover,155568.0,1000.0,84.0,2016. 6. 3.,"['준일', '고백', '라이브', '송유', '노래방']"
1092,1092,캘리가사집 어반자카파 - 널 사랑하지 않아,11252.0,106.0,2.0,2016. 6. 2.,"['사랑', '반자', '카파', '사집']"
