,token,view,count,view_count
640,엉망,1577384.0,4,394346.0
641,엉망진창,502070.0,2,251035.0
642,에스,1759998.0,3,586666.0
643,에이,9493381.0,21,452065.7619047619
644,에프,1759998.0,3,586666.0
645,엑스,5925669.0,7,846524.1428571428
646,엔딩,7550.0,1,7550.0
647,엘리스,567597.0,2,283798.5
648,여럿,46435.0,1,46435.0
649,여름,3743616.0,4,935904.0
650,여름밤,527019.0,1,527019.0
651,여신,128365.0,1,128365.0
652,여인,168464.0,1,168464.0
653,여자,40565563.0,34,1193104.794117647
654,여치,480949.0,1,480949.0
655,여행,5826211.0,5,1165242.2
656,여행기,349984.0,1,349984.0
657,역대,8852394.0,18,491799.6666666667
658,역할,273677.0,1,273677.0
659,연금,54921.0,1,54921.0
660,연기,7283.0,1,7283.0
661,연락,13444.0,1,13444.0
662,연말,49852.0,1,49852.0
663,연속,1645306.0,5,329061.2
664,연습,102687.0,1,102687.0
665,연애,1032800.0,4,258200.0
666,연예인,6062229.0,4,1515557.25
667,연인,667669.0,3,222556.33333333334
668,연정,810999.0,1,810999.0
669,연주,906935.0,2,453467.5
670,연주곡,13081.0,1,13081.0
671,열고,613655.0,2,306827.5
672,열애,6396830.0,1,6396830.0
673,열일,100724.0,1,100724.0
674,열차,14625.0,1,14625.0
675,열창,507170.0,1,507170.0
676,영산,781453.0,1,781453.0
677,영상,4305254.0,14,307518.14285714284
678,영애,57506.0,1,57506.0
679,영원,75596.0,1,75596.0
680,영이,83027.0,1,83027.0
681,영접,81650.0,1,81650.0
682,영혼,127213.0,1,127213.0
683,예고,542285.0,16,33892.8125
684,예능,2322873.0,3,774291.0
685,예대,750332.0,3,250110.66666666666
686,예성,365646.0,3,121882.0
687,오가,7486.0,1,7486.0
688,오구,441223.0,1,441223.0
689,오늘,6167118.0,12,513926.5
690,오디,268859.0,2,134429.5
691,오랑우탄,133079.0,1,133079.0
692,오랜만,208371.0,1,208371.0
693,오반,89601.0,1,89601.0
694,오브,19212.0,1,19212.0
695,오열,102687.0,1,102687.0
696,오월,313357.0,1,313357.0
697,오종,74795.0,1,74795.0
698,오지,12543.0,1,12543.0
699,오프,19575089.0,17,1151475.8235294118
700,오후,18439.0,1,18439.0
701,옥상,672460.0,6,112076.66666666667
702,온도,462541.0,2,231270.5
703,와요,420409.0,3,140136.33333333334
704,와이,2393328.0,2,1196664.0
705,와중,230319.0,1,230319.0
706,외침,87865.0,1,87865.0
707,요가,27322.0,1,27322.0
708,요리,51543.0,1,51543.0
709,요일,3010478.0,2,1505239.0
710,요정,16759.0,1,16759.0
711,요조,400966.0,1,400966.0
712,요즘,981428.0,2,490714.0
713,욕심,570952.0,1,570952.0
714,용의자,609657.0,1,609657.0
715,용주,385220.0,2,192610.0
716,용화,45622.0,1,45622.0
717,우기,2975648.0,2,1487824.0
718,우리,662092.0,1,662092.0
719,우먼,1233910.0,1,1233910.0
720,우승자,15814.0,1,15814.0
721,우울,57881.0,2,28940.5
722,우의,40006.0,1,40006.0
723,우주,4291515.0,7,613073.5714285715
724,우지,4987202.0,3,1662400.6666666667
725,운전,76902.0,1,76902.0
726,울보,17317.0,1,17317.0
727,울산,91611.0,1,91611.0
728,울음,501363.0,2,250681.5
729,웃음,219797.0,5,43959.4
730,워킹,28315.0,1,28315.0
731,워터,24706.0,1,24706.0
732,원곡,2238659.0,1,2238659.0
733,원내,19421.0,1,19421.0
734,원래,15137.0,2,7568.5
735,원숭이,954229.0,1,954229.0
736,원옥,79977.0,1,79977.0
737,원주,613548.0,1,613548.0
738,월리,551327.0,1,551327.0
739,월요,119093.0,1,119093.0
740,월화,293588.0,1,293588.0
741,위로,477521.0,5,95504.2
742,위험,487036.0,1,487036.0
743,유가,22051.0,1,22051.0
744,유관순,62490.0,1,62490.0
745,유니온,98884.0,1,98884.0
746,유미,93354.0,1,93354.0
747,유병,64662.0,1,64662.0
748,유성,389608.0,2,194804.0
749,유아,220535.0,1,220535.0
750,유영,36603.0,1,36603.0
751,유일,62490.0,1,62490.0
752,유정,519606.0,3,173202.0
753,유주,1396276.0,4,349069.0
754,유치,101303.0,1,101303.0
755,유회,127378.0,1,127378.0
756,육성,966715.0,1,966715.0
757,윤상,61262.0,1,61262.0
758,윤지,188358.0,1,188358.0
759,윤하,1692199.0,4,423049.75
760,융희,125734.0,1,125734.0
761,은광,254837.0,1,254837.0
762,은비,1712191.0,1,1712191.0
763,은우,1601175.0,1,1601175.0
764,은진,139890.0,1,139890.0
765,은하,7412015.0,3,2470671.6666666665
766,음감,454249.0,2,227124.5
767,음색,1247926.0,4,311981.5
768,음악,616878.0,1,616878.0
769,음향,5875118.0,10,587511.8
770,응원,1847380.0,3,615793.3333333334
771,의리,6158820.0,12,513235.0
772,의문,161373.0,1,161373.0
773,의상,30080.0,1,30080.0
774,의상실,6066619.0,3,2022206.3333333333
775,이기적,326283.0,1,326283.0
776,이달,326734.0,3,108911.33333333333
777,이드,1679553.0,6,279925.5
778,이래,15137.0,2,7568.5
779,이루,204584.0,1,204584.0
780,이리,62912.0,1,62912.0
781,이문,81875.0,1,81875.0
782,이민,101303.0,1,101303.0
783,이번,15675.0,1,15675.0
784,이별,9310934.0,19,490049.15789473685
785,이불,487036.0,1,487036.0
786,이브,8040030.0,10,804003.0
787,이비,1303248.0,1,1303248.0
788,이사,51401.0,1,51401.0
789,이상,213707.0,1,213707.0
790,이석훈,1174749.0,3,391583.0
791,이성,6746691.0,4,1686672.75
792,이수,485464.0,1,485464.0
793,이스트,4001642.0,7,571663.1428571428
794,이슬,34911986.0,45,775821.911111111
795,이승,307589.0,2,153794.5
796,이식,271178.0,1,271178.0
797,이십오,54921.0,1,54921.0
798,이야기,718681.0,3,239560.33333333334
799,이어폰,3435798.0,8,429474.75
800,이언,1841990.0,7,263141.4285714286
801,이요,37599.0,1,37599.0
802,이원,3705.0,1,3705.0
803,이유,6630319.0,33,200918.75757575757
804,이적,660599.0,1,660599.0
805,이정,370643.0,1,370643.0
806,이제,171498.0,1,171498.0
807,이즈,845737.0,4,211434.25
808,이지,720854.0,1,720854.0
809,이춤,369589.0,1,369589.0
810,이터널,14410.0,1,14410.0
811,이해리,2573303.0,3,857767.6666666666
812,이행시,22228.0,1,22228.0
813,이후,83982.0,1,83982.0
814,인공,1142114.0,1,1142114.0
815,인내심,2949794.0,1,2949794.0
816,인디고,377032.0,1,377032.0
817,인사,50350.0,2,25175.0
818,인생,1658897.0,2,829448.5
819,인연,475500.0,1,475500.0
820,인재,18869.0,1,18869.0
821,인정,1258520.0,1,1258520.0
822,인터뷰,9767052.0,24,406960.5
823,인피,1231253.0,4,307813.25
824,인형,839316.0,2,419658.0
825,일기,1872478.0,27,69351.03703703704
826,일기장,90200.0,1,90200.0
827,일대일,22140.0,1,22140.0
828,일리,1019337.0,2,509668.5
829,일반인,68356.0,2,34178.0
830,일보,64662.0,1,64662.0
831,일본,685048.0,1,685048.0
