,Unnamed: 0,title,view,like,unlike,date,token
426,426,취향존중TV8모델들의 퇴근 후,30952.0,125.0,0.0,2016. 7. 6.,"['모델', '취향', '존중', '퇴근']"
427,427,나는 주인공이다  2화 좀비 곡성이야 워킹데드야 뭐야,13291.0,89.0,5.0,2016. 7. 6.,"['곡성', '워킹', '주인공', '데드']"
428,428,나는 주인공이다  1화 여친 앞에서 오줌지린 난 뭐야,42302.0,201.0,18.0,2016. 7. 6.,"['주인공', '오줌']"
429,429,NOMA style 7 그 남자의 방,2324.0,13.0,1.0,2016. 7. 5.,['남자']
430,430,릴레이보이 남자들이 여자에게 클렌징을 해준다면,508075.0,2000.0,36.0,2016. 7. 2.,"['릴레이', '클렌징', '보이', '여자', '남자']"
431,431,취향존중TV 7,14790.0,67.0,1.0,2016. 7. 1.,"['취향', '존중']"
432,432,취향존중TV 6 다이어트는 내일부터,10756.0,49.0,1.0,2016. 6. 30.,"['취향', '다이어트', '존중', '내일']"
433,433,취향존중TV5 버내너,16962.0,57.0,2.0,2016. 6. 28.,"['취향', '존중']"
434,434,취향존중TV 4,21085.0,102.0,7.0,2016. 6. 23.,"['취향', '존중']"
435,435,취향존중TV 3 뷰티풀,5757.0,41.0,1.0,2016. 6. 21.,"['뷰티', '취향', '존중']"
436,436,릴레이보이 남자들이 여자에게 메이크업을 해준다면,791553.0,4000.0,105.0,2016. 6. 21.,"['릴레이', '메이크업', '보이', '여자', '남자']"
437,437,NOMA style6 퇴근 후,1479.0,6.0,1.0,2016. 6. 20.,['퇴근']
438,438,취향존중TV 2,6541.0,36.0,5.0,2016. 6. 19.,"['취향', '존중']"
439,439,취향존중TV 1 셀카바보,5482.0,31.0,1.0,2016. 6. 17.,"['취향', '카바', '존중']"
440,440,NOMA style5 남자모델의 흔한 먹방,4083.0,5.0,1.0,2016. 6. 15.,"['모델', '남자']"
441,441,NOMA style4 타투,6361.0,19.0,1.0,2016. 6. 11.,[]
442,442,훈남저격 2 국민대 편,287675.0,727.0,56.0,2016. 6. 11.,"['국민', '저격']"
443,443,NOMA style3 쇼 리허설,610.0,4.0,0.0,2016. 6. 7.,['리허설']
444,444,NOMA style 1 백스테이지,957.0,5.0,0.0,2016. 6. 2.,['스테이지']
445,445,NOMA style: cover edition모델 노마한의 타투 이야기,3547.0,22.0,0.0,2016. 5. 23.,"['모델', '한의', '이야기', '노마']"
446,446,훈남저격 1한국외대편,567888.0,2000.0,136.0,2016. 5. 22.,"['외대', '한국', '저격']"
447,447,스타일101 실제 여자들이 더 좋아하는 룩,1771655.0,6000.0,242.0,2016. 5. 16.,"['여자', '스타일', '실제']"
448,448,스타일101 실제 연하남이 더 좋아하는 룩,1880399.0,7000.0,434.0,2016. 5. 16.,"['연하', '스타일', '실제']"
449,449,추억팔이 시대별 교복 변화  Korean high school uniform evolution,1828335.0,8000.0,288.0,2016. 5. 13.,"['변화', '추억', '교복', '대별']"
450,450,추억팔이 1분만에 보는 아이돌 팬클럽 변천사Kpop Fanclub History HOT GOD 동방신기 EXO,186143.0,1000.0,205.0,2016. 5. 9.,"['변천사', '아이', '분만', '클럽', '추억', '동방']"
451,451,스타일101 취향저격 스쿨룩의 정석 l School Looks 2016,737658.0,3000.0,90.0,2016. 5. 8.,"['스타일', '정석', '저격', '취향']"
452,452,수고했어 오늘도 당황 주의 에릭남을 친구로 착각한 주인공 집에 데려다 준다니까 납치인 줄 알고 도망감ㅋㅋㅋㅋ 에릭남이 나를 데리러 온다면 2 에릭남,1704988.0,10000.0,193.0,2016. 5. 4.,"['착각', '주의', '친구', '당황', '수고', '주인공']"
453,453,남자의 인생템 미니쿠퍼 컨버터블 - 남자가 미니타면 별론가요 l Mini Cooper Convertible,62921.0,111.0,12.0,2016. 5. 2.,"['인생', '가요', '컨버터블', '미니', '남자']"
454,454,남자의 인생템 미니쿠퍼 컨버터블 일반인 리얼 시승기 l Mini Cooper Convertible Trial,61693.0,116.0,7.0,2016. 4. 27.,"['인생', '리얼', '컨버터블', '일반인', '미니', '남자', '승기']"
455,455,수고했어 오늘도  편의점에 갑자기 연예인이 나타난다면 1 하하,3825348.0,20000.0,536.0,2016. 4. 24.,"['편의점', '수고', '연예인']"
456,456,SFW 2016 S/S 스티브요니 세로패션쇼,3462.0,22.0,0.0,2016. 4. 22.,"['패션쇼', '세로']"
